,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,Acquired,Acquisition type,Acquisition year
Tamil Nadu Urban Infrastructure Trustee Co. Ltd.,,1,0,0,0,0,1,,,0,,0,0,0,0,0,1,,,0,,0,0,0,0,0,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Tamilnad Mercantile Bank Ltd.,,0.69,15.22,0,19.96,19.11,161173,1.99,1.99,0.04,,0.71,14.18,0.03,20.89,17.86,203092.1,1.19,1.19,0.28,,0.71,15.55,0.05,24.08,19.74,236843.3,1.48,1.48,0.12,,0.67,9.6,0.06,14.02,12.53,263982.1,2.16,2.16,0.11,,0.67,9.88,0.04,15.6,14.7,297494.5,2.04,2.04,0.02,,0.66,9.27,0,14.53,13.61,352663.2,2.36,2.36,0.11,,0.61,6.4,0.02,10.27,9.74,369843.6,2.25,2.25,0,,0.64,5.47,-0.01,6.7,6.17,379199.4,2.37,2.37,0.15,,0.67,6.61,0.04,7.36,6.86,405327.9,2.77,2.77,0,,0.66,10.21,0,10.73,10.29,427587.9,3.44,3.44,0.08,,0.67,14.17,0,14.1,13.58,475271.6,2.39,2.39,0,No,,
Tamilnadu Adidravidar Housing & Devp. Corpn. Ltd.,189.9,0,38.87,0,16.48,0.45,4033.8,1.62,1.62,0.2,165.6,0,1.95,0.15,0.56,0.66,4789.8,1.54,1.54,0.17,161.6,0,6.45,-0.07,1.59,1.35,4375.7,1.62,1.62,0.16,142.8,0,10.49,0.05,2.35,1.2,4877.4,1.75,1.75,0.06,169.4,0.16,6.22,-0.08,1.54,1.31,4431.1,1.6,1.6,0.04,161.2,0.11,1.94,-0.01,0.44,2.26,5095.2,2.14,2.14,0,174.6,0.05,8.85,0.02,1.95,1.88,5257.3,2.47,2.47,0,185.5,0,3.27,0.01,0.7,0.77,5061.3,2.84,2.84,0,185.5,0,3.27,0.01,0.7,0.77,5061.3,2.84,2.84,0,,,,,,,,,,,,,,,,,,,,,No,,
Tamilnadu Chromates & Chemicals Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Tamilnadu Finance Ltd.,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Tamilnadu Industrial Devp. Corpn. Ltd.,,0.27,47.41,0.07,13.52,6.38,7158.4,0.78,0.78,0.97,,0.25,24.98,0,4.71,3.57,7514.6,0.74,0.74,0.9,,0.15,53.68,0,22.58,2.71,7426.7,1.15,1.15,0.64,,0.13,58.06,0,12.72,6.84,8758.8,1.1,1.1,0.69,,0.13,58.06,0,12.72,6.84,8758.8,1.1,1.1,0.69,10.8,0.09,85.78,0,,,8712.8,1.41,1.41,0.3,9.8,0.1,57.36,0.02,6.01,4.8,8353.9,1.43,1.43,0.27,10.6,0.1,58.89,0.07,9.43,10.16,8898.2,1.77,1.77,0.24,98.2,0.06,88.18,-0.01,15.63,13.61,15257.5,2.04,2.11,0.07,126.7,0.05,80.86,0,20.71,17.69,13032.3,9.92,10.25,0.01,126.7,0.05,80.86,0,20.71,17.69,13032.3,9.92,10.25,0.01,No,,
Tamilnadu Industrial Invst. Corpn. Ltd.,,0.81,23.77,-0.1,46.69,4.91,15313.6,0.39,0.4,6.76,,0.82,20,-0.04,29.68,3.71,16588.5,0.26,0.27,5.1,,0.88,16.24,-0.07,17.11,2.07,16423.4,0.08,0.09,5.24,,0.85,14.39,-0.04,13.06,1.75,18328.7,0.22,0.23,5,,0.86,11.02,-0.06,9.03,1.83,19573.2,0.27,0.28,4.27,,0.82,13.5,0,10.63,1.17,20255.2,0.29,0.29,4.05,2350.6,0.8,12,0,8.72,2.12,20258.2,0.3,0.3,2.24,2078.9,0.77,10.63,0,6.66,1.88,18327.2,1.22,1.22,2.8,1771.6,0.7,15.18,0,8.43,0.77,15715.7,1.36,1.36,1.51,1459.3,0.7,16.47,0,5.89,2.46,14929.9,1.45,1.45,1.1,1459.3,0.7,16.47,0,5.89,2.46,14929.9,1.45,1.45,1.1,No,,
Tamilnadu Rural Housing & Infrastructure Devp. Corpn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Tamilnadu Telecommunications Ltd.,149.2,0.07,-41.83,-0.07,,-41.16,519.2,0.4,0.76,3.73,121.8,0.08,-95.42,0.12,,-176.18,499,0.34,0.62,,180.9,0.06,-46.39,0.14,,,444.3,0.3,0.54,,153.2,0.06,-65.24,0.15,,,421.9,0.27,0.46,,156.9,0.05,-38.17,0.17,,,446.1,0.32,0.43,,47.1,0.04,-307.03,0.21,,,384.4,0.28,0.32,,26.7,0.04,-591.91,0.25,,,309.2,0.21,0.26,,16.1,0.04,-842.69,0.27,,,320.7,0.18,0.23,,,0.04,-31420,0.26,,,310.2,0.15,0.19,,,0.05,-70400,0.25,,,308.8,0.13,0.17,,,0.05,-70400,0.25,,,308.8,0.13,0.17,,No,,
Tamilnadu Transport Devp. Finance Corpn. Ltd.,,0.76,3.34,0.05,2.61,0.33,16505.3,0.51,0.51,7.01,,0.74,3.6,-0.02,2.92,0.35,18560,0.58,0.58,7.53,,0.78,3.28,-0.13,2.89,0.33,18381.5,0.64,0.64,8.13,,0.71,2.68,0.01,2.94,0.31,20944.8,0.65,0.65,8.85,,0.75,2.52,-0.08,3.05,0.3,22773.7,0.54,0.54,9.4,,0.91,1.66,-0.32,2.42,0.21,27009.6,0.14,0.14,12.18,,0.95,1.97,-0.31,3.18,0.2,38048.9,0.05,0.05,17.97,,0.89,1.76,-0.24,3.65,0.15,58888.3,0.2,0.2,27.3,,0.89,1.66,-0.11,4.08,0.14,64024.1,0.2,0.2,29.5,,0.89,1.66,-0.11,4.08,0.14,64024.1,0.2,0.2,29.5,,,,,,,,,,,No,,
Tamilnadu Urban Finance & Infrastructure Devp. Corpn. Ltd.,,0.84,18.14,0,7.75,1.5,6953,0.68,0.69,3.44,,0.72,16.62,0,6.25,1.5,6592.2,0.65,0.65,2.91,,0.82,25.09,-0.04,8.45,1.91,8455.1,0.36,0.36,3.93,,0.9,8.19,-0.17,2.15,1.67,9941.5,0.08,0.08,4.81,,0.91,35.23,-0.17,7.63,1.21,12273,0.08,0.08,5.79,,0.52,39.74,3.49,7.26,1.9,2748.7,1.14,1.14,0.11,,0.9,35.66,0,8.78,4.97,5348.9,0.23,0.23,1.36,,0.92,37.16,-0.08,10.11,4.29,5757.1,0.18,0.18,1.36,,0.9,41.82,0.25,10.7,5.19,4750.3,0.07,0.07,0.75,,0.88,54.07,0.27,11.97,7,3891.4,0.1,0.1,0.31,,0.88,54.07,0.27,11.97,7,3891.4,0.1,0.1,0.31,No,,
Tamsa Papers Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Tandon Stock & Share Brokers Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Tanglin Retail Reality Developments Pvt. Ltd.,,0,,0,,-16.14,270,0.02,0.02,,,0.14,-20.7,-0.05,,,3394,1.26,1.26,,,0.13,-92.86,0.02,,-0.04,2761,0.01,0.01,,,0.13,,0.01,,0,2775.5,0.01,0.01,,,0.17,-28766.67,-0.02,,-2.82,3366.9,0.88,0.88,,,0.39,-41250,-0.26,,-4.28,4413.7,0.16,0.16,,,0.23,-1333.01,0,,-2.33,7473.9,0.66,0.66,,,0.25,-1126.23,-0.03,,-0.89,7484.8,0.62,0.62,,,0.62,-284.27,0,,-0.15,29221,0.29,0.29,,,0.89,-17325.71,0.07,,-2.55,18405.4,0,0,,,0.89,-17325.71,0.07,,-2.55,18405.4,0,0,,No,,
Tangnu Romai Power Generation Pvt. Ltd.,,0.34,50.68,-0.32,11.95,0.95,623,0.22,0.22,17.68,,0.34,50.68,-0.32,11.95,0.95,623,0.22,0.22,17.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Tanishq (India) Ltd. [Merged],,0.02,57.69,-0.02,3.5,3.85,87.4,859,859,0,,0.02,57.69,-0.02,3.5,3.85,87.4,859,859,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Tanita Leasing & Finance Ltd.,,0.38,25,0,0.72,0.72,55.8,30.5,79,0,,0.47,26.32,0,0.9,0.85,62.3,8,55,0.11,,0.45,7.14,0,0.18,0.17,56.4,39,130,0,,0.52,33.33,0,1.24,1.19,61.7,1.3,3.96,0.08,,0.51,30.43,-0.07,1.22,1.18,57.7,,,0,,0.57,16.67,0.02,0.69,1.21,62.6,0.33,3.98,0,,0.52,31.82,-0.06,1.2,1.2,59.6,2.78,22.44,0,,0.53,4.55,0,0.17,0.17,59.3,6.8,41.8,0,,0.56,13.04,0,0.51,0.51,63.9,0.4,4.98,0,,0.54,-50,-0.1,-1.37,-1.37,58.7,2.75,59,0,,0.54,-50,-0.1,-1.37,-1.37,58.7,2.75,59,0,No,,
Tanti Holdings Pvt. Ltd.,,0.1,-193.62,0,,,14451.6,0.02,0.03,5.33,,0.12,-60.59,0,-6.02,-1.05,11822.6,0.01,0.01,4.02,,0.4,-2200.58,0,-5012.85,-50.64,6155.9,0.04,0.04,,2.1,0.01,-42.96,0.03,,-1.24,3606.4,0,0.01,,4.4,0.01,12.55,0.02,,3.12,6001.4,0.02,0.05,,331.1,0.01,8.84,0.05,,0.62,5904.6,0.24,0.68,,713.8,0.06,-244.41,0.04,,-45.5,3859.7,0.82,1.17,,36.6,0.01,18.22,0.01,,1.11,3816.2,1.64,1.94,,6,0.21,67.84,-0.2,,2.88,6463.7,57.05,57.33,,28.5,0.21,-1.5,0.61,,-0.29,4854,1.52,1.54,,28.5,0.21,-1.5,0.61,,-0.29,4854,1.52,1.54,,No,,
Tantia Financial Services Ltd.,,0.51,74.66,-0.12,82.31,19.45,154.8,0.53,0.53,3.04,5,0.2,-8.7,-0.02,,,127.5,1.16,1.43,1.73,0.6,0.19,-284.21,0.01,-15.04,-5.09,130.9,1.09,1.34,2.21,0.3,0.09,-2125,0,-29.36,-7.88,113.6,1.17,1.28,3.42,0.3,0.09,-2125,0,-29.36,-7.88,113.6,1.17,1.28,3.42,,0.09,-2520,0,,,115.3,0.93,1.02,39.36,,0.11,-2550,0,,-8.97,115.9,0.84,0.9,,,0.11,-2675,0,,-9.41,115.6,0.77,0.86,,,0.28,-319.23,0,,-13.94,46.7,0.06,0.16,,,0.3,,0,,-7.81,44.3,0.04,0.13,,,0.3,,0,,-7.81,44.3,0.04,0.13,,No,,
Tanuk Pharma (India) Ltd.,48.4,0.1,3.07,0,3.28,2.55,86.9,1.28,1.47,0.33,48.4,0.1,3.07,0,3.28,2.55,86.9,1.28,1.47,0.33,107.8,0.04,6.2,0,,,97.8,1.05,1.56,0.17,97.1,0.07,-0.1,0,-0.17,1.53,103.4,0.58,1.37,0.23,23.3,0.09,-66.53,-0.04,-32.43,-21.55,101.5,0.75,0.91,0.89,17.5,0.1,-29.57,-0.12,-19.34,-12.1,57,2.14,2.88,0.25,,0.28,14.29,0,2.73,-10.52,51.1,108.5,174,0.13,,0.71,-106.67,0,-3.61,-1.85,46.2,,,0.06,,0.72,0,0,0,0,46.4,,,0.07,,0.71,,0,-2.33,-2.17,45.8,,,0.08,,0.71,,0,-2.33,-2.17,45.8,,,0.08,No,,
Tanvirkumar Diamonds Ltd.,26.6,0.01,5.62,0,1.19,1.22,131.9,14.67,23.69,0.03,117.9,0.01,9.25,0,8.97,8.62,171.1,4.53,4.79,0,30.6,0.05,12.66,0,3.87,4.11,133.4,3.42,4.92,0,60.6,0.08,5.95,0,3.58,3.76,123.4,7.93,10.98,0,28.5,0.09,3.39,0,0.88,0.79,123.9,5.94,11.7,0,67,0.07,-0.15,0,-0.09,-0.09,121.5,15.6,15.6,0,,0.01,89.87,0,6.01,6.52,121.9,548,548,0,,0,100,0,0.49,0.49,122.4,552,552,0,,0,88.89,0.05,0.65,0.65,123.1,,,0,,0,100,0,0.73,0.73,123.9,,,0,,0,100,0,0.73,0.73,123.9,,,0,No,,
Tapasya Projects Ltd.,290.9,0.22,2.06,0,,,648.8,1.09,1.75,0.84,300.2,0.18,0.97,0.03,1.32,0.75,633.9,1.09,1.77,0.7,245,0.28,0.24,-0.08,0.26,0.15,569.1,1.15,2.73,0.85,434.6,0.24,3.4,0.06,6.51,3.64,593.5,1.09,2.26,0.7,8.8,0.25,-53.64,0,-3.37,-1.97,549.7,1.13,2.3,0.72,10.3,0.26,-33.13,-0.01,-2.31,-1.29,552.5,1.16,2.32,0.72,9.8,0.35,29.23,0.03,3.99,2.34,418.8,2.54,12.33,0.51,10.4,0.39,-185.93,-0.06,-10.78,-6.88,430.8,6.8,47.23,0.64,13,0.44,49.64,0.09,11.84,7.32,533.2,3.23,11.95,0.55,67,0.59,53.72,-0.12,39.14,25.9,753,2.08,12.81,0.48,67,0.59,53.72,-0.12,39.14,25.9,753,2.08,12.81,0.48,No,,
Tapi Energy Projects Ltd.,8.6,0.81,16.92,-0.12,6.31,1.86,495.6,0.02,1.21,2.24,,0.75,3.85,-0.08,1.31,-0.67,565.7,0.02,0.95,2.8,,0.74,-17,-0.01,-5.43,-1.36,615.1,0.01,0.93,3.22,,0.73,-25.73,-0.28,-8.7,-1.63,835.5,0.02,0.86,5.54,,0.71,-20.95,-0.19,-13.42,-1.74,1025.3,0.02,0.81,8.1,,0.86,-21.12,0.07,-15.09,-1.62,985.7,0.08,1.02,9.15,,0.97,27.3,-0.13,22.18,1.32,1030.6,0.02,1.11,7.58,,0.86,-13.12,0.06,-11.96,-1.4,1069.2,0.16,0.17,9.03,,0.71,6.41,1.06,4.82,0.38,521.8,0.09,0.11,3.66,,0.81,-42.78,-0.29,-15.29,-2.63,671,0.03,0.06,5.93,,0.81,-42.78,-0.29,-15.29,-2.63,671,0.03,0.06,5.93,No,,
Tapir Constructions Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,-1,,,2493.4,0,1,,,0.06,,-0.01,,-0.02,2509.7,0,1,,,0.06,,0.02,,-0.14,2797.2,0.01,0.99,,0.4,0.46,-67620,-0.43,,-19.19,5106.7,0.01,0.88,,3.6,0.46,-6254.55,-0.02,,-10.37,5146.1,0,0.81,,0.1,0.05,-127233.33,0.74,,-10.71,3147.7,0,0.67,,0.1,0.05,-127233.33,0.74,,-10.71,3147.7,0,0.67,,No,,
Tapovan Paper & Board Mills Ltd.,15.1,0.88,-24.34,0,,-17.63,55.3,0.07,0.07,,,0.9,,-0.04,,-14.25,56,0.01,0.01,,,0.43,-110.71,0.32,,-6.75,71.2,0,0,,,0.52,-131.43,-0.13,,-7.52,86.2,0,2.59,,,0.63,-725,0.03,,-14.45,68.7,0,2.55,,,0.57,-2080,0.18,,-22.49,57.8,0,1.93,,,0.47,-1357.14,0.22,,-26.43,48.6,0.09,1.39,,,0.26,-1140,-0.1,,-17.65,33.6,,,,,0.29,-25,-0.02,,-0.31,30.7,,,,,0.31,-150,-0.01,,-1,29.3,,,,,0.31,-150,-0.01,,-1,29.3,,,,No,,
Tarahaat Information & Mktg. Services Pvt. Ltd.,8.1,0.14,-82.22,0,,,3.5,0.35,0.56,,4.6,0.16,-24.49,0,,,3.1,0.41,0.74,,4.6,0.16,-24.49,0,,,3.1,0.41,0.74,,25.9,0.28,54.75,0,,,22.8,1.66,1.75,0.24,55.6,0.15,45.42,-0.13,97.36,91.81,42,3.78,5.65,0,82.9,0.27,33.68,0.32,53.65,53.65,73.6,6.98,7.57,0,22.2,0.29,12.55,-0.13,4.7,4.56,74.1,3.17,3.87,0,0.8,0.47,-247.22,-0.29,-13.22,-13.22,65,0.23,0.68,0,1.8,0.56,-66.67,-0.14,-4.56,-4.56,61.9,0.78,1.78,0,8.1,0.56,9.91,-0.12,1.81,0.49,62,6.88,9.88,0.01,8.1,0.56,9.91,-0.12,1.81,0.49,62,6.88,9.88,0.01,No,,
Target Fin-Lease Ltd.,,0.38,75,0,17.75,12.79,11.7,11.67,11.67,0,,0.38,75,0,17.75,12.79,11.7,11.67,11.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Tarini Enterprises Ltd.,,0.12,0.4,0,,,277,0.67,10.03,0,,0.44,1.01,-0.23,0.06,0.06,477,69.25,881,0.01,,0.58,0.9,-0.21,0.02,0.02,478.2,128,741.67,0.01,,0.44,5.3,0.06,0.17,0.17,479.5,74.29,604.43,0.01,,0.57,2.44,-0.1,0.06,0.06,480.1,20.43,280.86,0.01,,0.61,5.22,0,0.13,0.13,493,1.1,14.11,0.01,,0.46,5.66,0.11,0.13,0.13,482.2,85.14,664,0.01,,0.58,9.58,-0.06,0.34,0.38,491.2,3.85,60.59,0.01,,0.68,15.47,-0.03,0.86,0.85,492.2,3.77,31.25,0.01,,0.68,11.59,-0.01,0.56,0.56,498.1,1.57,19.15,0.01,,0.68,11.59,-0.01,0.56,0.56,498.1,1.57,19.15,0.01,No,,
Tarini International Ltd.,29.9,0.08,9.63,0,5.92,2.13,172.8,0,0.01,1.64,13.1,0.04,0.76,0,0.11,0.06,183.4,0.11,0.2,0.35,9.1,0.07,0,0,0,0,203.6,0.07,0.12,0.49,8.5,0.12,20.35,0.06,2.65,1.76,217.4,0.06,0.11,0.52,26.4,0.44,7.89,-0.41,1.05,0.81,367.6,0.15,0.45,0.18,12.7,0.44,18.77,-0.04,1.9,1.57,390.9,0.4,0.65,0.24,11,0.4,17.18,0.01,1.33,1.37,384,0.66,0.92,0.2,16.1,0.37,17.19,-0.03,1.64,1.39,387.7,1.23,1.54,0.16,9.5,0.37,2.23,0.02,0.17,0.36,406.8,0.9,1.08,0.21,3.6,0.38,9.06,-0.02,0.83,-2.89,390.5,0.9,1.07,0.17,3.6,0.38,9.06,-0.02,0.83,-2.89,390.5,0.9,1.07,0.17,No,,
Tarpon Trading Co. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Tashi India Ltd.,30.2,0.63,1.01,0.07,0.57,0.07,157,0.25,0.54,0.96,56.6,0.59,11.46,0.05,10.36,5.58,141.8,0.34,1.51,0.71,20.1,0.62,10.29,0.2,4.01,2.48,117.7,0.29,1.92,0.43,,0.55,29.25,-0.01,3.74,2.55,120.5,0.19,0.59,0.41,,0.57,35.9,-0.01,4.86,3.34,127.4,0.12,0.49,0.43,1.7,0.68,22,-0.22,3.66,2.22,172.7,0.06,0.22,0.86,,0.72,9.47,-0.13,1.94,0.97,203.8,0.05,0.15,1.15,3.1,0.75,9.88,-0.12,2.63,1.14,240.8,0.08,0.13,1.48,4.4,0.62,5.19,0.16,1.54,0.6,278,3.28,3.5,1.64,2.8,0.53,-1.74,0.1,-0.51,-0.19,271.7,32.54,32.54,1.66,2.8,0.53,-1.74,0.1,-0.51,-0.19,271.7,32.54,32.54,1.66,No,,
Tata Asset Mgmt. Ltd.,32.2,0.25,14.61,0.14,14.28,15.04,1764.5,2.39,2.39,0,27.6,0.4,24.26,-0.02,23.77,23.4,2347.3,3.43,3.45,0,15.2,0.42,10.76,0.02,10.69,10.7,2484.4,3.58,3.6,0,14.9,0.42,9.51,0.07,11.31,11.32,2732,2.02,2.09,0,12.8,0.49,13.01,-0.13,12.97,12.58,2516.9,1.44,2.39,0,18.5,0.41,3.63,0.15,3.1,3.06,2565.7,2.99,3.64,0,21.7,0.33,20.46,0.13,20.8,20.39,2990.1,5.01,5.46,0,20.9,0.1,19.57,0.12,18.93,17.35,2999.7,1.57,1.57,0,18.2,0.11,9.94,-0.23,8.12,7.34,2911,4.05,4.05,0,19.4,0.1,8.82,0.3,7.29,6.87,3306.2,1.99,1.99,0.1,18.8,0.06,30.23,0.26,28.62,26.22,4183,1.18,1.18,0.07,No,,
Tata Capital Financial Services Ltd.,,0,33.33,0,,,26.3,36.86,36.86,0.03,,0.87,7.54,-0.22,12.56,1.43,201650.9,0.09,0.09,6.14,,0.89,10.11,-0.1,9.67,1.24,216366.2,0.06,0.07,5.77,,0.94,6.02,-0.08,5.6,0.46,232911.7,0.04,0.04,6.09,,0.93,5.79,-0.11,5.93,0.37,262779.6,0.02,0.02,6.63,1970.4,0.93,7.25,-0.16,8.16,0.41,313025.3,0.02,0.02,7.72,2472,0.94,4.75,-0.12,6.89,-0.35,353721.8,0.03,0.03,9.53,2734.2,0.94,9.24,-0.1,13.91,1.18,399158.9,0.06,0.06,11.61,3730.2,0.93,7.8,-0.17,13.08,0.82,497467.3,0.16,0.16,10.48,4229.3,0.92,1.85,-0.02,2.3,0.23,502264.2,0.32,0.33,6.51,3885.7,0.91,11.29,-0.03,10.72,1.43,510540.8,0.31,0.31,5.85,No,,
Tata Capital Housing Finance Ltd.,,0.99,3.87,-0.87,1.75,0.4,7045.7,0.01,0.01,3.81,,0.99,4.43,-0.68,3.93,0.54,21646.7,0.02,0.02,7.77,,0.98,7.2,-0.49,10.69,0.89,43452.2,0.04,0.04,13.91,,0.99,9.07,-0.34,19.9,1.12,65249.5,0.03,0.03,19.35,,0.99,7.46,-0.31,21.65,0.89,92882.3,0.02,0.02,26.41,,0.99,8.9,-0.31,32.55,1.05,132994.3,0.02,0.02,33.18,,0.99,10.34,-0.24,43.01,1.22,174797.9,0.02,0.02,34.94,336.3,0.99,4.44,-0.18,18.77,0.29,207520.2,0.01,0.01,40.8,507.3,0.97,1.9,-0.24,7.28,-0.71,274347.8,0.11,0.11,28.05,296,0.93,4.78,-0.05,8.47,-0.07,301159.8,0.46,0.46,9.53,218,0.92,11.38,0.05,12.48,0.56,285479.8,0.41,0.41,7.76,No,,
Tata Capital Ltd.,365.8,0.79,4.12,-0.19,3.16,-0.26,170733.5,0.12,0.12,5.21,550.9,0.02,45.47,0.03,3.61,0.91,36096.3,0.06,0.06,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Sale of Assets,May-11
Tata Capital Markets Ltd. [Merged],,0.07,-9.74,-0.1,-2.25,-2.43,232.7,66.67,66.67,0,,0.07,-9.74,-0.1,-2.25,-2.43,232.7,66.67,66.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Tata Cleantech Capital Ltd.,,,,,,,,,,,,0,25,0.02,,,25.7,42,42,0,,0,31.25,-0.03,2.29,2.29,25.9,64.33,64.33,0,,0.98,22.09,-1,7.15,3.84,1358.2,0.03,0.03,0.6,,0.98,22.81,-0.79,3.31,1.61,6954.9,0.02,0.02,1.17,1.7,0.99,26.09,-0.45,8.37,2.9,12508.6,0.04,0.04,2.46,12.6,0.99,25.31,-0.39,9.75,2.88,20567.7,0.03,0.03,2.34,,0.99,28.18,-0.36,12.27,3.06,31154.3,0.01,0.01,3.6,21.9,0.94,23.59,-0.35,13.46,2.49,53737.9,0.27,0.27,4.99,5.5,0.85,19.9,-0.04,13.32,2.23,64939.2,0.97,0.97,5.32,16,0.95,25.08,-0.11,15.75,2.65,67797.1,0.47,0.47,4.62,No,,
Tata Communications Payment Solutions Ltd.,411.2,0.4,-40.85,-0.44,-88.8,-26.06,1443.2,1.81,1.83,1.39,1905.5,0.31,-20.48,-0.1,-137.67,-37.48,1869.4,0.8,0.89,9.6,3657.1,0.26,-38.56,-0.32,-240.18,-104.9,3887.5,1.14,1.19,0.61,4905.7,0.15,-27.58,-0.11,-112.34,-44.77,6837,0.99,1.1,2.25,5156.7,0.08,-33.14,-0.02,-266.42,-25.2,11352.5,1.51,1.61,,5664.6,0.07,-35.19,0.02,-174.03,-20.37,13564.3,1.2,1.23,3.65,5281,0.07,-32.11,-0.02,-76.39,-17.8,11075.8,1.08,1.14,3.19,5281,0.07,-32.11,-0.02,-76.39,-17.8,11075.8,1.08,1.14,3.19,3570.8,0.07,-33.89,0.03,-36.75,-17.18,9171.8,0.97,0.98,1.63,3434.1,0.1,-30.57,0.09,-48.34,-16.14,7755.9,0.82,0.88,2.78,2153.7,0.09,-62.44,0.02,-111.51,-24.11,7748.8,0.85,0.92,5.81,No,,
Tata Finance Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Tata Finance Merchant Bankers Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Tata Infrastructure Capital Ltd. [Merged],,0,0,0,,,1,1.6,1.6,0,,0.02,0,-0.05,0,0,5.6,54,54,0,,0.02,50,-0.02,3.57,3.57,5.8,,,0,,0.02,50,-0.02,3.57,3.57,5.8,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
